question,answer
San,Sorry can't understand you.
mns faculty,Sorry can't understand you.
Room numner of RAA,Sorry can't understand you.
Email of ahr,Sorry can't understand you.
Room number of IBU,There is no information found regarding your query.
Room number of EHK,There is no information found regarding your query.
Ehsanul Kabir,Sorry can't understand you.
Aar,Sorry can't understand you.
AAR,Sorry can't understand you.
Annajiat,Sorry can't understand you.
Room no of ehsanul kabir,Sorry can't understand you.
Medical centre,Sorry can't understand you.
Email id of SKF,There is no information found regarding your query.
Email id of SAD,There is no information found regarding your query.
Email id of WAA,There is no information found regarding your quer
Sej,Sorry can't understand you.
Mlr email id,Sorry can't understand you.
Email id of mlr,There is no information found regarding your query.
Email id of MLR,There is no information found regarding your query.
Email id of MLR?,There is no information found regarding your query.
email id of fhd?,There is no information found regarding your query.
Full name of mzh,There is no information found regarding your query.
Full form of rfi,Sorry can't understand you.
Full name of sar,There is no information found regarding your query.
Full name of sae,There is no information found regarding your query.
Wifi password of UB71101,Sorry can't understand you.
Wifi password of UB71101,Sorry can't understand you.
Cse370,Sorry can't understand you.
Faculty of CSE370,Sorry can't understand you.
Advising date,Sorry can't understand you.
Advising,Sorry can't understand you.
Faculty,Sorry can't understand you.
Full name of waa,There is no information found regarding your query.
Full name of shs,There is no information found regarding your query.
Full name of aai,There is no information found regarding your query.
Full name of mzk,There is no information found regarding your query.
Afk,Sorry can't understand you.
Email of afk,Sorry can't understand you.
Email id of afk?,There is no information found regarding your query.
Email of szi,Sorry can't understand you.
Email id of afk?,There is no information found regarding your query.
Email id of abu?,There is no information found regarding your query.
Full name of abu?,There is no information found regarding your quer
Email id of sad,There is no information found regarding your query.
Full name of nrt,There is no information found regarding your query.
full name of nrt,There is no information found regarding your query.
Email id of roy,There is no information found regarding your query.
email id of roy?,There is no information found regarding your query.
email id of arka,There is no information found regarding your query.
email id of stja,There is no information found regarding your query.
email of tajnim imami,Sorry can't understand you.
Tajnim Imami,Sorry can't understand yo
Email of SAD,Sorry can't understand you.
Mail id of sad,There is no information found regarding your query.
Maid id of salman sir,Sorry can't understand you.
Mail id of mugdho sir?,There is no information found regarding your query.
Mail id of TSM?,There is no information found regarding your query.
MHAI full form,Sorry can't understand you.
Mail id of MHAI?,There is no information found regarding your query.
Mail id of mhai?,There is no information found regarding your query.
Mail id of mishaal hai,There is no information found regarding your query.
Initial of mhai,There is no information found regarding your query.
AAI mail,Sorry can't understand you.
Mail if of AAI,Sorry can't understand you.
Who is AAI,There is no information found regarding your query.
Full form of AAI?,Sorry can't understand you.
AAI,Sorry can't understand you.
email id of AAI,There is no information found regarding your quer
Can I get the email id of Saimum Talukdar sir who takes law 202 ?,There is no information found regarding your query.
Then mail id of Anusheh shihab Ali mam who takes law 201,There is no information found regarding your query.
Wtf is this then,Sorry can't understand you.
SRK ?,Sorry can't understand you.
"Yes, dangerous lady ... 🌾",Sorry can't understand you.
Can you provide some information about counselling unit ?,Sorry can't understand you.
Email address of ABQ?,There is no information found regarding your query.
Full name of ACE,There is no information found regarding your query.
What’s his department?,Sorry can't understand you.
What’s the full name of ASI?,There is no information found regarding your query.
Name of ASI,Sorry can't understand you.
Can I have his mail ?,Sorry can't understand you.
Give me SIF’s email id,Sorry can't understand yo
Who is MUA,There is no information found regarding your quer
What is TBA?,Sorry can't understand you.
Who is TBA?,There is no information found regarding your query.
Who is THA,There is no information found regarding your query.
Who is MZH,There is no information found regarding your query.
Who is MZH?,There is no information found regarding your query.
Cse230,Sorry can't understand you.
Full form of tnr,Sorry can't understand you.
Maid id of ishita madam?,Sorry can't understand you.
room number of roy?,There is no information found regarding your query.
phone number of mih,Sorry can't understand you.
mobile number of mih,Sorry can't understand you.
mail id of STJA,There is no information found regarding your query.
mail id of sta,There is no information found regarding your query.
mail id of stja,There is no information found regarding your query.
Mail id of tashnuba miss?,There is no information found regarding your query.
mail id of stj,There is no information found regarding your query.
email id of stja?,There is no information found regarding your query.
email id of stj?,There is no information found regarding your query.
email id of sta?,There is no information found regarding your query.
email id of tja?,There is no information found regarding your query.
email id of smt?,There is no information found regarding your query.
email id of mth?,There is no information found regarding your query.
Mail id of Kamal sir?,There is no information found regarding your query.
Mail id of kamal sir?,There is no information found regarding your quer
FEA,Sorry can't understand you.
full name of SEQ?,There is no information found regarding your query.
full name of SE O?,Sorry can't understand you.
full name of SE Q?,Sorry can't understand you.
full name of KZT?,There is no information found regarding your query.
full name of SEQ?,There is no information found regarding your query.
full name of SMQ?,There is no information found regarding your query.
full name of SSU?,There is no information found regarding your query.
full name of NHF?,There is no information found regarding your query.
full name of RMA?,There is no information found regarding your query.
Consultation hour of ish,Sorry can't understand you.
consultation hour of Annajiat sir,Sorry can't understand you.
Full name of All,There is no information found regarding your query.
AII,Sorry can't understand you.
FULL NAME MZN,Sorry can't understand you.
FULL NAME OF MZM,There is no information found regarding your query.
Full name of MIT,There is no information found regarding your query.
Room number of AAI,There is no information found regarding your query.
Full name of AAI,There is no information found regarding your query.
Who is TAW,There is no information found regarding your query.
Who is Tawhid Anwar,There is no information found regarding your query.
Who is AAI,There is no information found regarding your query.
Cse340,Sorry can't understand yo
Email id of ZHM,There is no information found regarding your query.
Mail of bbs dco,Sorry can't understand you.
Mail of smq,Sorry can't understand you.
Email id of smq?,There is no information found regarding your quer
cse427,Sorry can't understand you.
full name of HUQ,There is no information found regarding your query.
full name of huq,There is no information found regarding your query.
Full name of TAW,There is no information found regarding your query.
Cse290,Sorry can't understand you.
Cse260,Sorry can't understand you.
pay101,Sorry can't understand you.
psy101,Sorry can't understand you.
full form of msn,Sorry can't understand you.
full form of rks,Sorry can't understand you.
full name of mzh,There is no information found regarding your quer
Full name of MZH,There is no information found regarding your query.
email id of san?,There is no information found regarding your query.
Email id of sanjeeda najneen,There is no information found regarding your query.
Email Id of sanjeeda nazneen,There is no information found regarding your query.
Email Id of ROY,There is no information found regarding your query.
Email of MMM,Sorry can't understand you.
Email id of registrar,There is no information found regarding your query.
Email Id of registrar's office,There is no information found regarding your query.
Mahbub Alam Majumdar,Sorry can't understand you.
Saddam Hussain,Sorry can't understand you.
SDH,Sorry can't understand yo
"Email ID of Rakin Sir, MAT 120",There is no information found regarding your query.
Email ID of ARKA,There is no information found regarding your query.
EID MUBARAK! :3,Sorry can't understand you.
Email of DZK,Sorry can't understand you.
May I have the email address of TSM,There is no information found regarding your query.
rooooom number of aar,Sorry can't understand you.
room number  of aar,Sorry can't understand you.
Full name of tna,There is no information found regarding your query.
Notes,Sorry can't understand you.
