question,answer
"You can write ""help"" anytime to get this information.",Zakaria Khan Abid
Full form of rfi,Sorry can't understand you.
Zakaria Khan Abid,Full name of rfi
Full name of RFI is Dr. Mohammad Rafiqul Islam,Zakaria Khan Abid
Full name of sar,There is no information found regarding your query.
Zakaria Khan Abid,Full name of sae
There is no information found regarding your query.,Zakaria Khan Abid
Wifi password of UB71101,Sorry can't understand you.
Zakaria Khan Abid,Wifi password of UB71101
Sorry can't understand you.,Zakaria Khan Abid
Cse370,Sorry can't understand you.
Zakaria Khan Abid,Faculty of CSE370
Sorry can't understand you.,Zakaria Khan Abid
Advising date,Sorry can't understand you.
Zakaria Khan Abid,Advising
Sorry can't understand you.,Zakaria Khan Abid
Faculty,Sorry can't understand you.
Zakaria Khan Abid,Full name of dzk?
Full name of DZK is Dewan Ziaul Karim,Zakaria Khan Abid
Full name of waa,There is no information found regarding your query.
Zakaria Khan Abid,Full name of shh
Full name of SHH is Ms. Sharmina Hussain,Zakaria Khan Abid
Full name of shs,There is no information found regarding your query.
Zakaria Khan Abid,Full name of aii
Full name of AII is Md. Azmir Ibne Islam,Zakaria Khan Abid
Full name of aai,There is no information found regarding your query.
Zakaria Khan Abid,Full name of SIF
Full name of SIF is Sifat Islam Ishty,Zakaria Khan Abid
Full name of sfh,Full name of SFH is Safwana Haque
Zakaria Khan Abid,Full name of mzk
There is no information found regarding your query.,Zakaria Khan Abid
Full name of sfh,Full name of SFH is Safwana Haque
Zakaria Khan Abid,Afk
Sorry can't understand you.,Zakaria Khan Abid
Full name of afk,Full name of AFK is AFRINA KHATUN
Zakaria Khan Abid,Email of afk
Sorry can't understand you.,Zakaria Khan Abid
Email id of afk?,There is no information found regarding your query.
Zakaria Khan Abid,Full name of szi
Full name of SZI is Sabrina Zaman Ishita,Zakaria Khan Abid
Email of szi,Sorry can't understand you.
Zakaria Khan Abid,Email id of szi?
"Here is the email address of Sabrina Zaman Ishita sir, sz.ishita@gmail.com",Zakaria Khan Abid
Email id of afk?,There is no information found regarding your query.
Zakaria Khan Abid,Email id of abu?
There is no information found regarding your query.,Zakaria Khan Abid
Full name of abu?,There is no information found regarding your quer
